x; y; f_calls
65.3323; -0,824814; 44
122.153; 0,298428; 58
61.9619; -0,911921; 44
-14.2602; 0,00406707; 52
60.3488; -0,838533; 52
105.461; 0,222442; 58
-2.12654; 9,04438e-05; 44
152.208; 0,463346; 58
114.04; 0,260101; 58
-3.45254; 0,0002384; 52
96.7486; 0,187216; 58
10.7695; 0,00231965; 52
16.5283; 0,00546368; 52
85.622; 0,150233; 58
-87.024; 0,151463; 58
-10.1339; 0,00205393; 52
-11.2996; 0,00255362; 52
86.8795; 0,153242; 58
90.0788; 0,162829; 58
-1.06875; 2,28444e-05; 44
13.6024; 0,00370052; 52
94.7994; 0,179775; 58
-90.7152; 0,164585; 58
17.7365; 0,00629169; 52
103.588; 0,214608; 58
-9.95303; 0,00198126; 52
10.1226; 0,00204935; 52
-88.8201; 0,15778; 58
-0.623742; 7,78107e-06; 44
65.9644; -0,77539; 44
2.43127; 0,000118222; 52
2.95117; 0,000174188; 44
88.1193; 0,156667; 58
17.2581; 0,00595683; 52
-20.9726; 0,00879699; 52
10.7135; 0,0022956; 52
88.6595; 0,158285; 58
17.361; 0,00602811; 52
133.671; 0,357361; 58
3.02247; 0,000182707; 52
-11.6309; 0,00270556; 52
60.6153; -0,85528; 44
120.139; 0,288669; 58
11.8424; 0,00280483; 52
121.914; 0,297258; 58
84.7025; 0,148327; 52
18.6614; 0,00696496; 52
12.7706; 0,00326176; 52
-20.0902; 0,0080723; 52
91.7289; 0,168513; 58
62.4333; -0,919661; 44
2.80215; 0,000157041; 44
12.6603; 0,00320565; 52
14.1495; 0,00400417; 52
79.0846; 0,128968; 52
150.774; 0,454659; 58
-19.5414; 0,00763736; 52
-1.85683; 6,8956e-05; 44
58.6042; -0,694007; 52
62.8831; -0,920875; 44
83.0943; 0,145342; 52
1.91475; 7,33251e-05; 44
-16.28; 0,00530077; 52
-92.4152; 0,170811; 58
-12.2234; 0,00298822; 52
140.666; 0,395739; 58
144.721; 0,418883; 58
118.52; 0,280938; 58
88.5936; 0,158084; 58
18.3105; 0,00670551; 52
12.6065; 0,0031785; 52
144.164; 0,415665; 58
88.2822; 0,157148; 58
10.9507; 0,00239838; 52
8.63816; 0,00149235; 52
64.0588; -0,895583; 44
-12.4382; 0,00309419; 52
14.0779; 0,00396375; 52
-3.41483; 0,000233221; 52
11.8097; 0,00278937; 52
63.984; -0,89839; 44
2.74146; 0,000150312; 44
104.548; 0,218607; 58
7.79388; 0,00121489; 52
0.138018; 3,8098e-07; 52
-0.445763; 3,97409e-06; 52
-15.3707; 0,00472515; 52
140.411; 0,394303; 58
-21.3815; 0,00914341; 52
10.2156; 0,00208717; 52
-91.1239; 0,166071; 58
63.7591; -0,905876; 44
10.7157; 0,00229651; 52
18.3793; 0,00675594; 52
136.68; 0,373628; 58
93.553; 0,175123; 58
8.50234; 0,0014458; 52
107.644; 0,231747; 58
59.0496; -0,735709; 52
11.5261; 0,00265702; 52
