x; y; f_calls
666; 666; 6
3.18793e-15; -7,15717e-18; 16
62.7482; -0,921148; 56
-1.43401e-08; -7,15305e-18; 16
-2.3928e-05; 1,14438e-14; 88
-1.22279e-15; -7,15717e-18; 16
4.6926e-13; -7,15717e-18; 16
1.13218e-14; -7,15717e-18; 16
9.84434e-15; -7,15717e-18; 16
-7.46319e-08; -7,04577e-18; 32
-7.31702e-15; -7,15717e-18; 16
-2.50479e-05; 1,25408e-14; 80
2.2603e-13; -7,15717e-18; 32
-4.21606e-15; -7,15717e-18; 16
-2.71221e-05; 1,4705e-14; 64
-4.23536e-06; 3,51608e-16; 16
-1.28991e-06; 2,61203e-17; 16
6.80375e-15; -7,15717e-18; 16
1.26941e-14; -7,15717e-18; 16
4.02365e-12; -7,15717e-18; 16
2.25824e-13; -7,15717e-18; 32
1.57172e-15; -7,15717e-18; 16
4.78142e-12; -7,15717e-18; 32
8.33982e-13; -7,15717e-18; 24
5.15374e-15; -7,15717e-18; 16
-5.0445e-06; 5,01783e-16; 16
-1.01939e-06; 1,36258e-17; 32
2.67562e-13; -7,15717e-18; 32
1.27229e-12; -7,15717e-18; 16
62.7482; -0,921148; 40
-8.7112e-07; 8,01983e-18; 40
1.50407e-11; -7,15717e-18; 16
1.33082e-15; -7,15717e-18; 16
-2.90816e-06; 1,61991e-16; 48
5.09369e-10; -7,15716e-18; 16
2.24859e-13; -7,15717e-18; 32
-4.23782e-15; -7,15717e-18; 16
4.19489e-13; -7,15717e-18; 24
1.94361e-15; -7,15717e-18; 16
-5.92999e-07; -1,24205e-19; 48
-8.97825e-07; 8,96465e-18; 16
666; 666; 6
-5.00766e-15; -7,15717e-18; 16
2.25079e-13; -7,15717e-18; 32
-9.67477e-16; -7,15717e-18; 16
666; 666; 6
-3.07573e-06; 1,82045e-16; 64
-4.80579e-05; 4,61841e-14; 88
1.01526e-09; -7,15715e-18; 16
-4.26625e-15; -7,15717e-18; 16
62.7482; -0,921148; 56
1.74565e-11; -7,15717e-18; 16
2.2537e-13; -7,15717e-18; 32
2.26105e-13; -7,15717e-18; 32
666; 666; 6
1.02616e-14; -7,15717e-18; 16
1.53018e-09; -7,15712e-18; 16
2.3402e-12; -7,15717e-18; 16
-2.77099e-05; 1,53496e-14; 72
62.7482; -0,921148; 56
666; 666; 6
1.96618e-11; -7,15717e-18; 16
9.83421e-09; -7,15523e-18; 16
3.48934e-11; -7,15717e-18; 40
-4.52274e-07; -3,06613e-18; 16
6.03765e-15; -7,15717e-18; 16
1.59206e-15; -7,15717e-18; 16
-1.02639e-15; -7,15717e-18; 16
1.34682e-15; -7,15717e-18; 16
-7.82357e-06; 1,21701e-15; 56
2.25348e-13; -7,15717e-18; 32
3.37483e-15; -7,15717e-18; 16
-4.23478e-15; -7,15717e-18; 16
-3.0754e-05; 1,8909e-14; 80
-2.7371e-05; 1,49763e-14; 64
62.7482; -0,921148; 40
-3.47416e-07; -4,74321e-18; 16
2.2607e-13; -7,15717e-18; 32
-7.86035e-08; -7,0336e-18; 32
2.2507e-13; -7,15717e-18; 32
62.7482; -0,921148; 56
1.81995e-11; -7,15717e-18; 16
5.23517e-15; -7,15717e-18; 16
-8.15208e-09; -7,15584e-18; 40
-7.04203e-06; 9,84646e-16; 32
-3.54483e-06; 2,44159e-16; 32
9.43851e-09; -7,15538e-18; 16
7.58899e-15; -7,15717e-18; 16
3.66119e-10; -7,15716e-18; 16
-1.14035e-06; 1,88509e-17; 32
1.50801e-11; -7,15717e-18; 32
62.7482; -0,921148; 56
-2.35257e-05; 1,1062e-14; 80
6.68073e-12; -7,15717e-18; 24
2.25665e-15; -7,15717e-18; 16
-4.28645e-15; -7,15717e-18; 16
-2.29028e-05; 1,04836e-14; 64
5.51535e-15; -7,15717e-18; 16
-1.2754e-05; 3,24612e-15; 80
-1.74834e-05; 6,10621e-15; 88
