x0; a; b; f_calls
59.3086; 59.8086; 65.8086; 8
-63.313; -43.313; 118.687; 14
55.9382; 57.9382; 75.9382; 10
19.37; -41.13; 12.87; 14
-10.8334; -8.83345; 9.16655; 10
-80.005; -60.005; 101.995; 14
-8.15022; -6.15022; 11.8498; 10
-33.2583; -26.7583; 27.2417; 12
-71.4266; -51.4266; 110.573; 14
30.1777; -30.3223; 23.6777; 14
-88.7177; -68.7177; 93.2823; 14
44.3998; -137.6; 24.3998; 16
87.7105; 27.2105; 81.2105; 14
-99.8442; -79.8442; 82.1558; 14
98.4423; -83.5577; 78.4423; 16
23.4963; -37.0037; 16.9963; 14
22.3306; -38.1694; 15.8306; 14
-98.5867; -78.5867; 83.4133; 14
-95.3875; -75.3875; 86.6125; 14
4.95493; -15.0451; 2.95493; 12
-20.0278; -13.5278; 40.4722; 12
-90.6669; -70.6669; 91.3331; 14
94.7511; 34.2511; 88.2511; 14
-53.4457; -33.4457; 128.554; 14
-81.8787; -61.8787; 100.121; 14
23.6772; -36.8228; 17.1772; 14
-23.5076; -17.0076; 36.9924; 12
96.6462; -85.3538; 76.6462; 16
-6.64742; -4.64742; 13.3526; 10
71.9881; 51.9881; 69.9881; 12
36.0615; -24.4385; 29.5615; 14
-9.90015; -7.90015; 10.0999; 10
-97.347; -77.347; 84.653; 14
88.4404; 27.9404; 81.9404; 14
12.6576; -7.34236; 10.6576; 12
-22.9167; -16.4167; 37.5833; 12
-96.8067; -76.8067; 85.1933; 14
-53.8212; -33.8212; 128.179; 14
-51.7949; -31.7949; 130.205; 14
36.6527; -23.8473; 30.1527; 14
21.9993; -38.5007; 15.4993; 14
66.639; 60.139; 66.139; 10
-65.3271; -45.3271; 116.673; 14
-21.7879; -15.2879; 38.7121; 12
-63.5528; -43.5528; 118.447; 14
51.0723; 53.0723; 71.0723; 10
-14.9688; -8.46882; 45.5312; 12
-58.4117; -38.4117; 123.588; 14
13.5401; -46.9599; 7.04007; 14
-93.7373; -73.7373; 88.2627; 14
68.457; 48.457; 66.457; 12
-10.0492; -8.04917; 9.95083; 10
-20.97; -14.47; 39.53; 12
85.3318; 24.8318; 78.8318; 14
45.4544; 51.9544; 105.954; 12
-34.6918; -28.1918; 25.8082; 12
14.0888; -46.4112; 7.5888; 14
4.16685; -2.33315; 3.66685; 10
92.2344; 31.7344; 85.7344; 14
68.9068; 48.9068; 66.9068; 12
49.464; 51.464; 69.464; 10
7.93843; -12.0616; 5.93843; 12
17.3502; -43.1498; 10.8502; 14
93.0511; 32.5511; 86.5511; 14
21.4068; -39.0932; 14.9068; 14
-44.8002; -24.8002; 137.2; 14
-40.7453; -20.7453; 141.255; 14
-66.9466; -46.9466; 115.053; 14
-96.8727; -76.8727; 85.1273; 14
-15.3197; -8.8197; 45.1803; 12
-21.0237; -14.5237; 39.4763; 12
-41.3024; -21.3024; 140.698; 14
-97.184; -77.184; 84.816; 14
-60.2315; -40.2315; 121.768; 14
42.2684; -139.732; 22.2684; 16
58.0351; 60.0351; 78.0351; 10
21.192; -39.308; 14.692; 14
85.2602; 24.7602; 78.7602; 14
30.2154; -30.2846; 23.7154; 14
82.9919; 22.4919; 76.4919; 14
70.0077; 50.0077; 68.0077; 12
-10.1099; -8.10987; 9.89013; 10
-80.918; -60.918; 101.082; 14
-25.8363; -19.3363; 34.6637; 12
33.7683; -26.7317; 27.2683; 14
33.1845; -27.3155; 26.6845; 14
18.2596; -42.2404; 11.7596; 14
-45.0556; -25.0556; 136.944; 14
12.2487; -7.75132; 10.2487; 12
-23.4146; -16.9146; 37.0854; 12
94.3424; 33.8424; 87.8424; 14
69.7828; 49.7828; 67.7828; 12
44.3459; -137.654; 24.3459; 16
-52.803; -32.803; 129.197; 14
-48.7863; -28.7863; 133.214; 14
-91.9133; -71.9133; 90.0867; 14
42.1326; -139.867; 22.1326; 16
-77.8218; -57.8218; 104.178; 14
-12.1327; -10.1327; 7.8673; 10
-59.6562; -39.6562; 122.344; 14
